episode,reward
1,-746.9989
2,-1419.1611
3,-913.2358
4,-1526.4094
5,-1317.5774
6,-964.4945
7,-1079.8554
8,-1282.3269
9,-1751.3194
10,-862.7834
11,-1462.6008
12,-981.0676
13,-1230.4129
14,-970.4460
15,-1042.4136
16,-1340.6316
17,-1081.1270
18,-857.1434
19,-894.6063
20,-1023.2114
21,-910.6723
22,-1412.4706
23,-1424.3738
24,-1361.8336
25,-868.5252
26,-976.1445
27,-767.6469
28,-895.5493
29,-1331.4203
30,-1350.7537
31,-749.2734
32,-1426.6273
33,-1277.4543
34,-1056.6724
35,-1035.0601
36,-867.8462
37,-1304.9860
38,-864.9135
39,-756.4844
40,-1427.6931
41,-884.4754
42,-994.3871
43,-1553.9553
44,-858.4788
45,-858.4416
46,-1179.3927
47,-870.1244
48,-886.7884
49,-976.1335
50,-877.7532
51,-1572.1240
52,-1074.8702
53,-765.5614
54,-843.4100
55,-785.9385
56,-1332.6537
57,-530.7592
58,-1180.6757
59,-1409.4098
60,-1203.7966
61,-753.3437
62,-1085.7058
63,-865.7649
64,-1586.4451
65,-855.1324
66,-1114.4148
67,-601.5214
68,-1283.0776
69,-964.0081
70,-994.0601
71,-1410.5375
72,-759.0057
73,-922.3571
74,-1323.4454
75,-1216.4831
76,-1202.1151
77,-1218.1712
78,-982.7319
79,-554.3109
80,-1071.7869
81,-752.5593
82,-981.9873
83,-964.5491
84,-1289.8064
85,-1103.5771
86,-647.8297
87,-753.6229
88,-772.7840
89,-776.4504
90,-1183.3433
91,-1102.5113
92,-1354.5882
93,-763.0704
94,-962.6395
95,-853.6538
96,-746.8028
97,-909.7593
98,-618.0677
99,-883.5514
100,-1319.2079
101,-652.0719
102,-1021.1122
103,-760.6060
104,-863.6879
105,-1388.6061
106,-502.2745
107,-1087.2107
108,-1161.7188
109,-500.9804
110,-730.2578
111,-748.6412
112,-636.3189
113,-766.6189
114,-1098.1454
115,-951.9633
116,-1437.6491
117,-997.7289
118,-838.6659
119,-513.7943
120,-994.9655
121,-985.7132
122,-941.9402
123,-524.6504
124,-746.7594
125,-862.2799
126,-844.0242
127,-512.9895
128,-679.3209
129,-724.9501
130,-751.7792
131,-871.3322
132,-826.3198
133,-773.7823
134,-890.8679
135,-669.5769
136,-813.6174
137,-1062.1185
138,-738.7512
139,-490.2305
140,-742.3061
141,-984.8266
142,-1274.9240
143,-666.0861
144,-737.1739
145,-703.3307
146,-605.4428
147,-531.6949
148,-637.7892
149,-1134.1946
150,-639.3842
151,-254.8188
152,-671.2239
